x1,x2,y
-10.0,-10.0,-0.0004539786870243419
-9.797979797979798,-10.0,-0.0005556064893935817
-9.595959595959595,-10.0,-0.0006799831744235754
-9.393939393939394,-10.0,-0.0008322001972209177
-9.191919191919192,-10.0,-0.0010184881542721167
-8.98989898989899,-10.0,-0.0012464714594414379
-8.787878787878787,-10.0,-0.0015254798624649414
-8.585858585858587,-10.0,-0.0018669294496130465
-8.383838383838384,-10.0,-0.0022847885532127897
-8.181818181818182,-10.0,-0.0027961473864918443
-7.979797979797979,-10.0,-0.0034219143371661633
-7.777777777777778,-10.0,-0.00418766684444356
-7.575757575757576,-10.0,-0.005124690821944321
-7.373737373737374,-10.0,-0.0062712498727564535
-7.171717171717171,-10.0,-0.0076741342991820715
-6.96969696969697,-10.0,-0.009390550390617423
-6.767676767676768,-10.0,-0.011490422948807399
-6.565656565656566,-10.0,-0.014059198755084344
-6.363636363636363,-10.0,-0.017201255952189635
-6.161616161616162,-10.0,-0.021044044291179904
-5.959595959595959,-10.0,-0.025743103931368687
-5.757575757575758,-10.0,-0.0314881357767886
-5.555555555555555,-10.0,-0.038510323559287726
-5.353535353535354,-10.0,-0.047091135721117935
-5.151515151515151,-10.0,-0.0575728612190487
-4.94949494949495,-10.0,-0.07037115364559425
-4.747474747474747,-10.0,-0.08598986610182033
-4.545454545454546,-10.0,-0.10503844513274382
-4.343434343434343,-10.0,-0.12825210092748235
-4.141414141414142,-10.0,-0.15651486142793872
-3.9393939393939394,-10.0,-0.19088541989886948
-3.737373737373738,-10.0,-0.23262535830831385
-3.5353535353535355,-10.0,-0.2832288204422298
-3.333333333333333,-10.0,-0.3444519566609254
-3.1313131313131315,-10.0,-0.41833940005344705
-2.929292929292929,-10.0,-0.5072436056179708
-2.7272727272727275,-10.0,-0.6138310740311539
-2.525252525252525,-10.0,-0.7410673632449815
-2.3232323232323235,-10.0,-0.8921706025040247
-2.121212121212121,-10.0,-1.0705214621303112
-1.9191919191919187,-10.0,-1.2795170492281553
-1.717171717171718,-10.0,-1.5223582314157296
-1.5151515151515156,-10.0,-1.8017659335442338
-1.3131313131313131,-10.0,-2.119633338647443
-1.1111111111111107,-10.0,-2.4766380113293796
-0.9090909090909101,-10.0,-2.8718590137425486
-0.7070707070707076,-10.0,-3.302464296209052
-0.5050505050505052,-10.0,-3.7635451748254276
-0.30303030303030276,-10.0,-4.248168680448007
-0.10101010101010033,-10.0,-4.7476892388537095
0.10101010101010033,-10.0,-5.252310760645018
0.30303030303030276,-10.0,-5.751831319040687
0.5050505050505052,-10.0,-6.236454824643996
0.7070707070707076,-10.0,-6.697535703233315
0.9090909090909083,-10.0,-7.128140985666868
1.1111111111111107,-10.0,-7.523361988043273
1.3131313131313131,-10.0,-7.880366660686627
1.5151515151515156,-10.0,-8.198234065751192
1.7171717171717162,-10.0,-8.477641767842387
1.9191919191919187,-10.0,-8.720482949995004
2.121212121212121,-10.0,-8.929478537060874
2.3232323232323235,-10.0,-9.10782939665849
2.525252525252524,-10.0,-9.258932635892249
2.7272727272727266,-10.0,-9.386168925084075
2.929292929292929,-10.0,-9.492756393478333
3.1313131313131315,-10.0,-9.581660599026721
3.333333333333334,-10.0,-9.655548042405593
3.5353535353535346,-10.0,-9.716771178612811
3.737373737373737,-10.0,-9.767374640737128
3.9393939393939394,-10.0,-9.809114579138578
4.141414141414142,-10.0,-9.843485137602874
4.3434343434343425,-10.0,-9.87174789809784
4.545454545454545,-10.0,-9.894961553888043
4.747474747474747,-10.0,-9.91401013291523
4.94949494949495,-10.0,-9.929628845368383
5.1515151515151505,-10.0,-9.9424271377924
5.353535353535353,-10.0,-9.952908863288256
5.555555555555555,-10.0,-9.961489675448384
5.757575757575758,-10.0,-9.96851186322949
5.9595959595959584,-10.0,-9.974256895073767
6.161616161616163,-10.0,-9.97895595471302
6.363636363636363,-10.0,-9.982798743051244
6.565656565656564,-10.0,-9.985940800247723
6.767676767676768,-10.0,-9.988509576053488
6.969696969696969,-10.0,-9.990609448611258
7.171717171717173,-10.0,-9.992325864702352
7.373737373737374,-10.0,-9.993728749128497
7.575757575757574,-10.0,-9.994875308179079
